course status	course_dept	course_id	course_time	number_seats	open_seats	course_name	instructor	discussion_time
online	ANSC	ANSC688I	TuTh 2:00pm 3:15pm	10	8	Special Topics; Comparative Vertebrate Immunology	Zhengguo Xiao	Th 3:30pm 4:20pm
online	ANSC	ANSC688M	TuTh 9:30am 10:45am	10	5	Special Topics	Debabrata Biswas	
online	ANSC	ANSC698C	Tu 3:30pm 5:30pm	25	23	Seminar; Recent Advances in Animal and Avian Sciences	Richard Kohn	
online	ANSC	ANSC698D	Tu 3:30pm 5:30pm	12	5	Seminar; Developing Presentation Skills	Richard Kohn	Th 3:30pm 4:30pm
blended	ANSC	ANSC232	MW 10:00am 10:50am	20	4	Horse Management	Amy Burk	W 1:00pm 2:50pm
in person	ANTH	ANTH240	MWF 11:00am 11:50am	35	2	Introduction to Archaeology	Mark Leone	
in person	ANTH	ANTH436	TuTh 2:00pm 3:15pm	20	2	Norse Archaeology	George Hambrecht	
in person	ANTH	ANTH451	TuTh 11:00am 12:15pm	20	0	Environmental Archaeology	George Hambrecht	
in person	ANTH	ANTH636	TuTh 2:00pm 3:15pm	10	10	Norse Archaeology	George Hambrecht	
in person	ANTH	ANTH651	TuTh 11:00am 12:15pm	10	7	Environmental Archaeology	George Hambrecht	
in person	ANTH	ANTH740	Th 3:30pm 6:00pm	20	17	Theories of the Past and Accomplishments of Archaeology	Mark Leone	
online	ANTH	ANTH210		20	0	Introduction to Medical Anthropology and Global Health	Andrea Lopez	
online	ANTH	ANTH210		20	0	Introduction to Medical Anthropology and Global Health	Andrea Lopez	
online	ANTH	ANTH210		20	0	Introduction to Medical Anthropology and Global Health	Andrea Lopez	
online	ANTH	ANTH210		20	1	Introduction to Medical Anthropology and Global Health	Andrea Lopez	
online	ANTH	ANTH210		20	0	Introduction to Medical Anthropology and Global Health	Andrea Lopez	
online	ANTH	ANTH210		20	0	Introduction to Medical Anthropology and Global Health	Andrea Lopez	
online	ANTH	ANTH221	TuTh 6:00pm 7:15pm	24	2	Introduction to Forensic Sciences	Erin Guthrie	
online	ANTH	ANTH222	M 8:00am 10:00am	20	0	Introduction to Ecological and Evolutionary Anthropology	L Jen Shaffer	
online	ANTH	ANTH222	M 11:00am 1:00pm	20	0	Introduction to Ecological and Evolutionary Anthropology	L Jen Shaffer	
online	ANTH	ANTH222	M 2:00pm 4:00pm	20	0	Introduction to Ecological and Evolutionary Anthropology	L Jen Shaffer	
online	ANTH	ANTH222	W 8:00am 10:00am	20	0	Introduction to Ecological and Evolutionary Anthropology	L Jen Shaffer	
online	ANTH	ANTH222	W 11:00am 1:00pm	20	0	Introduction to Ecological and Evolutionary Anthropology	L Jen Shaffer	
online	ANTH	ANTH222	W 2:00pm 4:00pm	20	0	Introduction to Ecological and Evolutionary Anthropology	L Jen Shaffer	
online	ANTH	ANTH240	MW 6:00pm 7:15pm	24	10	Introduction to Archaeology	Kevin Gibbons	
online	ANTH	ANTH260	F 9:00am 9:50am	19	1	Introduction to Sociocultural Anthropology and Linguistics	Yancey Orr	
online	ANTH	ANTH260	F 10:00am 10:50am	19	0	Introduction to Sociocultural Anthropology and Linguistics	Yancey Orr	
online	ANTH	ANTH260	F 11:00am 11:50am	19	0	Introduction to Sociocultural Anthropology and Linguistics	Yancey Orr	
online	ANTH	ANTH260	F 12:00pm 12:50pm	19	0	Introduction to Sociocultural Anthropology and Linguistics	Yancey Orr	
online	ANTH	ANTH260	F 1:00pm 1:50pm	19	4	Introduction to Sociocultural Anthropology and Linguistics	Yancey Orr	
online	ANTH	ANTH260	F 2:00pm 2:50pm	19	0	Introduction to Sociocultural Anthropology and Linguistics	Yancey Orr	
online	ANTH	ANTH263	Tu 6:00pm 7:15pm	26	2	Sexuality and Culture	Jeanne Hanna	
online	ANTH	ANTH264	F 9:00am 9:50am	20	0	Immigration Policy, Immigrant Lives	Christina Getrich	
online	ANTH	ANTH264	F 10:00am 10:50am	20	0	Immigration Policy, Immigrant Lives	Christina Getrich	
online	ANTH	ANTH264	F 11:00am 11:50am	20	0	Immigration Policy, Immigrant Lives	Christina Getrich	
online	ANTH	ANTH265		25	0	Anthropology of Global Health	Thurka Sangaramoorthy	
online	ANTH	ANTH265	Tu 7:30pm 8:45pm	26	0	Anthropology of Global Health	Kyla Cools	
online	ANTH	ANTH266		26	1	Changing Climate, Changing Cultures	Jana Kopelentova Rehak	
online	ANTH	ANTH305	TuTh 2:00pm 3:15pm	35	5	Archaeological Methods and Practice	Jorge Bravo	
online	ANTH	ANTH322	Th 9:30am 10:45am	35	6	Method and Theory in Ecological Anthropology	L Jen Shaffer	
online	ANTH	ANTH323		25	0	Plagues, Pathogens and Public Policy	Thurka Sangaramoorthy	
online	ANTH	ANTH323	MW 4:30pm 5:45pm	33	5	Plagues, Pathogens and Public Policy	Tanya Icaza	
online	ANTH	ANTH360		35	11	Method and Theory in Sociocultural Anthropology	Andrea Lopez	
online	ANTH	ANTH380	F 10:00am 11:15am	35	4	Culture and Discourse	Jacqueline Messing	
online	ANTH	ANTH398N	Th 3:30pm 4:45pm	15	10	Independent Study; Career Development for Anthropology Majors	Erik Hanson	
online	ANTH	ANTH413	TuTh 11:00am 12:15pm	20	1	Health Disparities in the United States	Christina Getrich	
online	ANTH	ANTH415		20	12	Advanced Studies in Global Health	Matthew Thomann	
online	ANTH	ANTH447	TuTh 12:30pm 1:45pm	20	1	Material Culture Studies in Archaeology	Stephen Brighton	
online	ANTH	ANTH453	TuTh 3:30pm 4:45pm	25	12	Archaeology of the Modern City	Stephen Brighton	
online	ANTH	ANTH461		20	8	Language as Practice	Janet Chernela	
online	ANTH	ANTH462		30	11	Amazon Through Film	Janet Chernela	
online	ANTH	ANTH465	TuTh 3:30pm 4:45pm	20	3	Ethnoecology: Nature, Knowledge and People	Madeline Brown	
online	ANTH	ANTH601	Tu 4:00pm 6:40pm	20	14	Applied Anthropology	Mary Butler	
online	ANTH	ANTH613	TuTh 11:00am 12:15pm	10	8	Health Disparities in the United States	Christina Getrich	
online	ANTH	ANTH615		8	6	Advanced Studies in Global Health	Matthew Thomann	
online	ANTH	ANTH620	Th 2:00pm 4:45pm	20	13	Environment and Society	Elizabeth Van Dolah,William Dennison,Kenneth Rose	
online	ANTH	ANTH647	TuTh 12:30pm 1:45pm	10	7	Advanced Material Culture Studies in Archaeology	Stephen Brighton	
online	ANTH	ANTH653	TuTh 3:30pm 4:45pm	5	5	Archaeology of the Modern City	Stephen Brighton	
online	ANTH	ANTH655	Th 2:00pm 4:45pm	20	1	Introduction to Museum Scholarship	Diana Marsh	
online	ANTH	ANTH661		10	10	Language as Practice	Janet Chernela	
online	ANTH	ANTH688E	TuTh 3:30pm 4:45pm	10	6	Ethnoecology: Nature, Knowledge and People	Madeline Brown	
online	ANTH	ANTH741		20	7	Introduction to Cultural and Heritage Resource Management	Matthew Palus	
online	ANTH	ANTH742		20	7	Vital Technologies: Methods, Applications, and Interpretation	Matthew Edwards	
online	ANTH	ANTH747		20	10	The Business of Cultural & Heritage Resource Management	Lyle Torp	
online	ANTH	ANTH748		20	10	CHRM Project Management	Kelly Hockersmith	
online	ANTH	ANTH760	M 4:00pm 6:40pm	20	12	Development of Social/Cultural Theory	Yancey Orr	
online	AOSC	AOSC123	F 9:00am 9:50am	24	2	Causes and Implications of Global Change	Jeffrey Henrikson	
online	AOSC	AOSC123	F 10:00am 10:50am	24	3	Causes and Implications of Global Change	Jeffrey Henrikson	
online	AOSC	AOSC123	F 11:00am 11:50am	24	4	Causes and Implications of Global Change	Jeffrey Henrikson	
online	AOSC	AOSC123	F 9:00am 9:50am	24	4	Causes and Implications of Global Change	Jeffrey Henrikson	
online	AOSC	AOSC123	F 10:00am 10:50am	24	3	Causes and Implications of Global Change	Jeffrey Henrikson	
online	AOSC	AOSC123	F 11:00am 11:50am	24	4	Causes and Implications of Global Change	Jeffrey Henrikson	
online	AOSC	AOSC200	W 1:00pm 1:50pm	30	0	Weather and Climate	Timothy Canty	
online	AOSC	AOSC200	W 2:00pm 2:50pm	30	0	Weather and Climate	Timothy Canty	
online	AOSC	AOSC200	W 3:00pm 3:50pm	30	0	Weather and Climate	Timothy Canty	
online	AOSC	AOSC200	W 2:00pm 2:50pm	34	0	Weather and Climate	Jeffrey Henrikson	
online	AOSC	AOSC200	W 3:00pm 3:50pm	34	2	Weather and Climate	Jeffrey Henrikson	
online	AOSC	AOSC200	M 1:00pm 1:50pm	34	2	Weather and Climate	Jeffrey Henrikson	
online	AOSC	AOSC200	M 2:00pm 2:50pm	34	3	Weather and Climate	Jeffrey Henrikson	
online	AOSC	AOSC201	Tu 3:30pm 5:30pm	26	0	Weather and Climate Laboratory	Hannah Daley	
online	AOSC	AOSC201	W 10:00am 12:00pm	26	6	Weather and Climate Laboratory	Abby Sebol	
online	AOSC	AOSC201	F 10:00am 12:00pm	26	7	Weather and Climate Laboratory	Sarah Howard	
online	AOSC	AOSC201	W 4:00pm 6:00pm	26	6	Weather and Climate Laboratory	Benjamin Woods	
online	AOSC	AOSC201	M 2:00pm 4:00pm	26	4	Weather and Climate Laboratory	Abby Sebol	
online	AOSC	AOSC201	Tu 10:00am 12:00pm	26	1	Weather and Climate Laboratory	Hannah Daley	
online	AOSC	AOSC201	M 10:00am 12:00pm	26	0	Weather and Climate Laboratory	Sarah Howard	
online	AOSC	AOSC201	F 2:00pm 4:00pm	26	5	Weather and Climate Laboratory	Benjamin Woods	
online	AOSC	AOSC375	TuTh 11:00am 12:15pm	35	4	Introduction to the Blue Ocean	James Carton	
online	AOSC	AOSC400		32	11	Physical Meteorology of the Atmosphere	Rachel Pinker	
online	AOSC	AOSC420	MW 3:15pm 4:30pm	12	3	Physical Oceanography	Jacob Wenegrat	
online	AOSC	AOSC431	TuTh 9:30am 10:45am	25	4	Atmospheric Thermodynamics	Ning Zeng	
online	AOSC	AOSC431	TuTh 9:30am 10:45am	1	1	Atmospheric Thermodynamics	Ning Zeng	
online	AOSC	AOSC433	TuTh 2:00pm 3:15pm	17	2	Atmospheric Chemistry and Climate	Ross Salawitch	
online	AOSC	AOSC470		20	18	Synoptic Meteorology	Jonathan Poterjoy	
online	AOSC	AOSC493	M 2:00pm 3:00pm	10	0	Senior Research Project I	Timothy Canty	F 2:00pm 3:30pm
online	AOSC	AOSC494	Th 3:30pm 5:00pm	20	8	Atmospheric and Oceanic Science Seminar	Rachel Pinker	
online	AOSC	AOSC600		10	0	Synoptic Meteorology I	Jonathan Poterjoy	
online	AOSC	AOSC600		1	1	Synoptic Meteorology I	Jonathan Poterjoy	
online	AOSC	AOSC610		30	17	Dynamics of the Atmosphere and Ocean I	Da-Lin Zhang	
online	AOSC	AOSC610		1	0	Dynamics of the Atmosphere and Ocean I	Da-Lin Zhang	
online	AOSC	AOSC614	W 10:00am 12:30pm	20	15	Atmospheric Modeling, Data Assimilation and Predictability	Eugenia Kalnay	
online	AOSC	AOSC614	W 10:00am 12:30pm	1	1	Atmospheric Modeling, Data Assimilation and Predictability	Eugenia Kalnay	
online	AOSC	AOSC633	TuTh 2:00pm 3:15pm	5	3	Atmospheric Chemistry and Climate	Ross Salawitch	
online	AOSC	AOSC652		24	17	Analysis Methods in Atmospheric and Oceanic Science	Jeffrey Henrikson	
online	AOSC	AOSC652		30	29	Analysis Methods in Atmospheric and Oceanic Science	Jeffrey Henrikson	
online	AOSC	AOSC652		1	0	Analysis Methods in Atmospheric and Oceanic Science	Jeffrey Henrikson	
online	AOSC	AOSC652		1	1	Analysis Methods in Atmospheric and Oceanic Science	Jeffrey Henrikson	
online	AOSC	AOSC670	MW 3:15pm 4:30pm	11	7	Physical Oceanography	Jacob Wenegrat	
online	AOSC	AOSC670	MW 3:15pm 4:30pm	1	1	Physical Oceanography	Jacob Wenegrat	
online	AOSC	AOSC680	TuTh 11:00am 12:15pm	20	11	Introduction to Earth System Science	William Lau	
online	AOSC	AOSC680	TuTh 11:00am 12:15pm	1	1	Introduction to Earth System Science	William Lau	
blended	AOSC	AOSC200	W 2:00pm 2:50pm	23	0	Weather and Climate	Timothy Canty	
blended	AOSC	AOSC620	TuTh 2:00pm 3:15pm	25	19	Physics and Chemistry of the Atmosphere I	Russell Dickerson	
blended	AOSC	AOSC620	TuTh 2:00pm 3:15pm	1	1	Physics and Chemistry of the Atmosphere I	Russell Dickerson	
online	ARAB	ARAB104	MWF 10:00am 11:50am	15	5	Elementary Modern Standard Arabic I-II	Lutf Alkebsi	
online	ARAB	ARAB104	MWF 12:00pm 1:50pm	15	3	Elementary Modern Standard Arabic I-II	Samah Al-salami	
online	ARAB	ARAB104	MWF 1:00pm 2:50pm	15	0	Elementary Modern Standard Arabic I-II	Ahmed Hanafy	
online	ARAB	ARAB204	MWF 12:00pm 1:50pm	15	0	Intermediate Modern Standard Arabic I	Lutf Alkebsi	
online	ARAB	ARAB204	MWF 10:00am 11:50am	15	6	Intermediate Modern Standard Arabic I	Ahmed Hanafy	
